全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0302,IT服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,IT服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55136   , 55136","Charges related to IT服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0303,贸易代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,贸易代理费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55143   , 55143","Charges related to 贸易代理费, specific concept and rates need further confirmation based on actual business requirements."
FC0304,人工费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,人工费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 人工费用, specific concept and rates need further confirmation based on actual business requirements."
FC0305,人工费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,人工费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OP001012, 55148, SEA01010","Charges related to 人工费, specific concept and rates need further confirmation based on actual business requirements."
FC0306,自有车辆驾驶员人工费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆驾驶员人工费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55164   , 55164","Charges related to 自有车辆驾驶员人工费, specific concept and rates need further confirmation based on actual business requirements."
FC0307,预约加班费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,预约加班费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55188   , 55188","Charges related to 预约加班费, specific concept and rates need further confirmation based on actual business requirements."
FC0308,利润分配,,,CNY,应税,专票/普票,特殊科目,,待确认,,,利润分配相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 利润分配, specific concept and rates need further confirmation based on actual business requirements."
FC0309,利润分成,,,CNY,应税,专票/普票,特殊科目,,待确认,,,利润分成相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0102,"Charges related to 利润分成, specific concept and rates need further confirmation based on actual business requirements."
FC0310,砍泡分成,,,CNY,应税,专票/普票,特殊科目,,待确认,,,砍泡分成相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,854,"Charges related to 砍泡分成, specific concept and rates need further confirmation based on actual business requirements."
FC0311,利润返还,,,CNY,应税,专票/普票,特殊科目,,待确认,,,利润返还相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"55812   , 0116, 55175","Charges related to 利润返还, specific concept and rates need further confirmation based on actual business requirements."
FC0312,订舱佣金,,,CNY,应税,专票/普票,特殊科目,订舱,待确认,,,订舱佣金相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,550016,"Charges related to 订舱佣金, specific concept and rates need further confirmation based on actual business requirements."
FC0313,特殊科目,,,CNY,应税,专票/普票,特殊科目,,待确认,,,特殊科目相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,,"Charges related to 特殊科目, specific concept and rates need further confirmation based on actual business requirements."
FC0314,包干费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,包干费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,"OPN068  , 8010, OPN068","Charges related to 包干费, specific concept and rates need further confirmation based on actual business requirements."
FC0315,服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0063,"Charges related to 服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0316,门到门费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,门到门费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0081,"Charges related to 门到门费用, specific concept and rates need further confirmation based on actual business requirements."
FC0317,内陆费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,内陆费用相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,0322,"Charges related to 内陆费用, specific concept and rates need further confirmation based on actual business requirements."
FC0318,附加费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,655233,"附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0319,补贴申请服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,补贴申请服务费相关的费用，具体概念和收费标准需根据实际业务需求进一步确认。,应付,55915,"Charges related to 补贴申请服务费, specific concept and rates need further confirmation based on actual business requirements."
FC0320,港口作业包干费,,,CNY,应税,专票/普票,码头/港口/场站费用,,码头/场站,,,港口作业包干费，在码头、港口、场站进行作业时产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,OPN076,"港口作业包干费, charges related to 在码头、港口、场站进行作业时产生的费用, specific rates and applicable scenarios depend on actual business conditions."
FC0321,产品附加费,,,CNY,应税,专票/普票,跨境运输费用,,船公司/航空公司,,,产品附加费，跨境运输过程中产生的费用，具体收费标准和适用场景需根据实际业务情况确定。,应付,,"产品附加费, charges related to 跨境运输过程中产生的费用, specific rates and applicable scenarios depend on actual business conditions."
